,investigation_type,injury_severity,aircraft_damage,make,model,weather_condition,broad_phase_of_flight,event_year,event_month
9,Accident,0,Substantial,cessna,172,VMC,VMC,2007,12
30,Accident,0,Substantial,cessna,182,VMC,VMC,2007,12
41,Accident,0,Substantial,cessna,152,VMC,VMC,2007,12
73,Accident,0,Substantial,cessna,172,VMC,VMC,2007,12
75,Accident,0,Substantial,cessna,182,VMC,VMC,2007,12
80,Accident,1,Destroyed,cessna,152,VMC,VMC,2007,12
100,Accident,0,Substantial,cessna,152,VMC,VMC,2007,12
105,Accident,0,Substantial,cessna,152,VMC,VMC,2007,11
121,Accident,0,Substantial,cessna,152,VMC,VMC,2007,11
123,Accident,0,Substantial,cessna,152,VMC,VMC,2007,11
142,Accident,0,Substantial,cessna,172,VMC,VMC,2007,11
145,Accident,0,Substantial,cessna,150,VMC,VMC,2007,11
163,Accident,0,Substantial,cessna,180,VMC,VMC,2007,11
168,Accident,0,Substantial,cessna,180,VMC,VMC,2007,11
182,Accident,0,Substantial,cessna,150,VMC,VMC,2007,11
184,Accident,0,Substantial,cessna,152,VMC,VMC,2007,11
195,Accident,0,Substantial,cessna,172,VMC,VMC,2007,11
225,Accident,0,Substantial,cessna,152,VMC,VMC,2007,10
244,Accident,0,Substantial,cessna,172,VMC,VMC,2007,10
251,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,10
257,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,10
262,Accident,0,Substantial,cessna,152,VMC,VMC,2007,10
265,Accident,0,Substantial,cessna,152,VMC,VMC,2007,10
277,Accident,0,Substantial,cessna,152,VMC,VMC,2007,10
278,Accident,0,Substantial,cessna,182,VMC,VMC,2007,10
301,Accident,0,Substantial,cessna,172,VMC,VMC,2007,10
365,Accident,0,Substantial,cessna,182,VMC,VMC,2007,10
367,Accident,1,Substantial,piper,PA-18,VMC,VMC,2007,10
399,Accident,0,Substantial,cessna,172,VMC,VMC,2007,9
402,Accident,0,Substantial,cessna,172,VMC,VMC,2007,9
415,Accident,1,Substantial,cessna,180,VMC,VMC,2007,9
425,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,9
429,Accident,0,Substantial,cessna,172,VMC,VMC,2007,9
483,Accident,0,Substantial,cessna,180,VMC,VMC,2007,9
500,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,9
515,Accident,0,Substantial,cessna,172,VMC,VMC,2007,9
597,Accident,0,Substantial,cessna,172,IMC,IMC,2007,8
611,Accident,0,Destroyed,cessna,180,VMC,VMC,2007,8
622,Accident,0,Substantial,cessna,152,VMC,VMC,2007,8
638,Accident,0,Substantial,cessna,172,VMC,VMC,2007,8
681,Accident,0,Substantial,cessna,182,VMC,VMC,2007,8
691,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,8
702,Accident,0,Substantial,cessna,182,VMC,VMC,2007,8
704,Accident,0,Substantial,cessna,180,VMC,VMC,2007,8
725,Accident,0,Substantial,cessna,180,VMC,VMC,2007,8
729,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,8
756,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,8
806,Accident,0,Substantial,cessna,182,VMC,VMC,2007,7
858,Accident,0,Substantial,cessna,152,VMC,VMC,2007,7
886,Accident,0,Substantial,cessna,180,VMC,VMC,2007,7
887,Accident,0,Substantial,cessna,180,VMC,VMC,2007,7
934,Accident,0,Substantial,cessna,152,VMC,VMC,2007,7
940,Accident,0,Substantial,cessna,182,VMC,VMC,2007,7
988,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,7
1006,Accident,0,Substantial,cessna,150,VMC,VMC,2007,6
1007,Accident,0,Substantial,cessna,172,VMC,VMC,2007,6
1010,Accident,0,Substantial,cessna,150,VMC,VMC,2007,6
1049,Accident,0,Substantial,cessna,182,VMC,VMC,2007,6
1083,Accident,0,Substantial,cessna,172,VMC,VMC,2007,6
1108,Accident,1,Substantial,cessna,172,VMC,VMC,2007,6
1180,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,6
1194,Accident,0,Substantial,cessna,182,VMC,VMC,2007,5
1209,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,5
1256,Accident,0,Substantial,cessna,150,VMC,VMC,2007,5
1282,Accident,0,Substantial,piper,PA-24,VMC,VMC,2007,5
1285,Accident,0,Substantial,cessna,152,VMC,VMC,2007,5
1294,Accident,0,Substantial,cessna,180,VMC,VMC,2007,5
1297,Accident,0,Substantial,cessna,152,VMC,VMC,2007,5
1325,Accident,0,Substantial,piper,PA-22,VMC,VMC,2007,5
1360,Accident,0,Substantial,cessna,180,VMC,VMC,2007,4
1373,Accident,0,Substantial,cessna,152,VMC,VMC,2007,4
1375,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,4
1388,Accident,0,Substantial,piper,PA-22,VMC,VMC,2007,4
1433,Accident,0,Destroyed,cessna,152,VMC,VMC,2007,4
1481,Accident,0,Substantial,cessna,152,VMC,VMC,2007,4
1488,Accident,0,Substantial,cessna,150,VMC,VMC,2007,4
1489,Accident,0,Destroyed,cessna,172,VMC,VMC,2007,4
1495,Accident,0,Substantial,cessna,152,VMC,VMC,2007,4
1518,Accident,0,Substantial,piper,PA-22,VMC,VMC,2007,3
1522,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,3
1541,Accident,0,Substantial,cessna,150,VMC,VMC,2007,3
1549,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,3
1567,Accident,0,Substantial,cessna,150,VMC,VMC,2007,3
1581,Accident,0,Substantial,cessna,182,VMC,VMC,2007,3
1609,Accident,0,Substantial,cessna,150,VMC,VMC,2007,3
1610,Accident,0,Substantial,cessna,172,VMC,VMC,2007,3
1617,Accident,0,Substantial,cessna,150,VMC,VMC,2007,3
1657,Accident,0,Substantial,cessna,172,VMC,VMC,2007,2
1669,Accident,0,Substantial,cessna,180,VMC,VMC,2007,2
1707,Accident,0,Unknown,cessna,172,VMC,VMC,2007,2
1712,Accident,0,Substantial,cessna,152,VMC,VMC,2007,2
1748,Accident,0,Substantial,cessna,152,VMC,VMC,2007,1
1760,Accident,0,Substantial,cessna,152,VMC,VMC,2007,1
1767,Accident,0,Substantial,cessna,152,VMC,VMC,2007,1
1798,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,1
1880,Accident,0,Substantial,cessna,152,VMC,VMC,2006,12
1896,Accident,0,Substantial,cessna,172,VMC,VMC,2006,12
1957,Accident,0,Substantial,cessna,152,VMC,VMC,2006,11
1965,Accident,0,Substantial,cessna,152,VMC,VMC,2006,11
1973,Accident,0,Substantial,cessna,152,VMC,VMC,2006,11
2004,Incident,0,Unknown,cessna,172,VMC,VMC,2006,11
2038,Accident,0,Substantial,cessna,152,VMC,VMC,2006,11
2039,Accident,0,Minor,cessna,152,VMC,VMC,2006,11
2078,Accident,0,Substantial,cessna,172,VMC,VMC,2006,10
2085,Accident,0,Substantial,cessna,152,VMC,VMC,2006,10
2103,Accident,0,Substantial,cessna,152,VMC,VMC,2006,10
2131,Accident,0,Substantial,cessna,182,VMC,VMC,2006,10
2211,Accident,0,Substantial,cessna,152,VMC,VMC,2006,9
2215,Accident,0,Substantial,cessna,172,VMC,VMC,2006,9
2221,Accident,0,Substantial,cessna,152,VMC,VMC,2006,9
2239,Accident,0,Destroyed,cessna,150,VMC,VMC,2006,9
2242,Accident,0,Substantial,piper,PA-18,VMC,VMC,2006,9
2243,Accident,0,Substantial,cessna,152,VMC,VMC,2006,9
2293,Accident,0,Substantial,cessna,150,VMC,VMC,2006,9
2313,Accident,0,Substantial,cessna,180,VMC,VMC,2006,9
2324,Accident,0,Substantial,piper,PA-18,VMC,VMC,2006,8
2326,Accident,0,Substantial,cessna,172,VMC,VMC,2006,8
2350,Accident,0,Substantial,cessna,152,VMC,VMC,2006,8
2401,Accident,0,Substantial,piper,PA-18,VMC,VMC,2006,8
2415,Accident,0,Substantial,cessna,172,VMC,VMC,2006,8
2416,Accident,0,Substantial,cessna,150,VMC,VMC,2006,8
2443,Accident,0,Substantial,piper,PA-18,VMC,VMC,2006,8
2459,Accident,0,Substantial,piper,PA-25,VMC,VMC,2006,8
2468,Accident,0,Substantial,piper,PA-25,VMC,VMC,2006,8
2478,Accident,0,Substantial,cessna,180,VMC,VMC,2006,8
2529,Accident,0,Substantial,cessna,180,VMC,VMC,2006,7
2574,Accident,0,Substantial,cessna,182,VMC,VMC,2006,7
2599,Accident,0,Substantial,cessna,152,VMC,VMC,2006,7
2639,Accident,0,Substantial,cessna,180,VMC,VMC,2006,7
2646,Accident,1,Destroyed,piper,PA-28,IMC,IMC,2006,7
2667,Accident,0,Substantial,cessna,180,VMC,VMC,2006,7
2679,Accident,0,Substantial,cessna,180,VMC,VMC,2006,6
2687,Accident,0,Substantial,piper,PA-18,VMC,VMC,2006,6
2734,Accident,0,Substantial,cessna,152,VMC,VMC,2006,6
2736,Accident,0,Substantial,cessna,182,VMC,VMC,2006,6
2751,Accident,0,Substantial,cessna,180,VMC,VMC,2006,6
2755,Accident,1,Substantial,cessna,180,VMC,VMC,2006,6
2760,Accident,1,Destroyed,cessna,180,VMC,VMC,2006,6
2784,Accident,0,Substantial,piper,PA-18,VMC,VMC,2006,6
2793,Accident,0,Substantial,cessna,152,VMC,VMC,2006,6
2805,Accident,1,Substantial,cessna,152,VMC,VMC,2006,6
2846,Accident,0,Substantial,cessna,182,VMC,VMC,2006,6
2909,Accident,0,Substantial,cessna,180,VMC,VMC,2006,5
2910,Accident,0,Substantial,cessna,152,VMC,VMC,2006,5
2921,Accident,0,Substantial,cessna,180,VMC,VMC,2006,5
2937,Accident,0,Substantial,piper,PA-18,VMC,VMC,2006,5
2959,Accident,0,Substantial,cessna,152,VMC,VMC,2006,5
2983,Accident,0,Substantial,cessna,152,VMC,VMC,2006,5
2988,Accident,0,Substantial,piper,PA-18,VMC,VMC,2006,5
3008,Accident,0,Substantial,cessna,152,VMC,VMC,2006,5
3058,Accident,0,Substantial,cessna,172,VMC,VMC,2006,4
3074,Accident,1,Destroyed,cessna,172,VMC,VMC,2006,4
3094,Accident,0,Substantial,cessna,152,VMC,VMC,2006,4
3106,Accident,0,Substantial,piper,PA-18,VMC,VMC,2006,4
3109,Accident,0,Substantial,piper,PA-22,VMC,VMC,2006,4
3122,Accident,0,Substantial,cessna,180,VMC,VMC,2006,4
3152,Accident,0,Substantial,cessna,150,VMC,VMC,2006,4
3173,Accident,0,Substantial,cessna,172,VMC,VMC,2006,4
3208,Accident,0,Substantial,cessna,172,VMC,VMC,2006,3
3217,Accident,0,Substantial,piper,PA-22,VMC,VMC,2006,3
3238,Accident,0,Substantial,piper,PA-18,VMC,VMC,2006,3
3258,Accident,0,Substantial,cessna,152,VMC,VMC,2006,3
3259,Accident,0,Substantial,cessna,172,VMC,VMC,2006,3
3261,Accident,0,Substantial,cessna,182,VMC,VMC,2006,3
3289,Accident,0,Substantial,piper,PA-18,VMC,VMC,2006,3
3291,Accident,0,Substantial,piper,PA-24,VMC,VMC,2006,3
3296,Accident,0,Substantial,cessna,180,VMC,VMC,2006,3
3298,Accident,0,Substantial,piper,PA-24,VMC,VMC,2006,3
3300,Accident,0,Substantial,piper,PA-18,VMC,VMC,2006,3
3335,Accident,0,Substantial,cessna,172,VMC,VMC,2006,2
3351,Accident,0,Destroyed,cessna,150,VMC,VMC,2006,2
3357,Accident,0,Substantial,cessna,152,VMC,VMC,2006,2
3389,Accident,0,Destroyed,cessna,182,VMC,VMC,2006,2
3428,Accident,0,Substantial,cessna,152,VMC,VMC,2006,1
3433,Accident,1,Substantial,cessna,172,VMC,VMC,2006,1
3485,Accident,0,Substantial,cessna,152,VMC,VMC,2006,1
3488,Accident,0,Substantial,cessna,152,VMC,VMC,2006,1
3495,Accident,1,Substantial,cessna,180,VMC,VMC,2006,1
3520,Accident,0,Substantial,piper,PA-22,VMC,VMC,2005,12
3530,Accident,0,Substantial,cessna,152,VMC,VMC,2005,12
3541,Accident,0,Substantial,cessna,182,VMC,VMC,2005,12
3553,Accident,1,Destroyed,cessna,172,IMC,IMC,2005,12
3556,Accident,0,Substantial,piper,PA-18,VMC,VMC,2005,12
3605,Accident,0,Substantial,cessna,152,VMC,VMC,2005,12
3618,Accident,0,Substantial,cessna,152,VMC,VMC,2005,11
3643,Accident,0,Substantial,cessna,180,VMC,VMC,2005,11
3679,Accident,0,Substantial,cessna,182,VMC,VMC,2005,11
3703,Accident,0,Substantial,cessna,182,VMC,VMC,2005,11
3707,Accident,0,Substantial,cessna,150,VMC,VMC,2005,11
3710,Accident,0,Substantial,cessna,152,VMC,VMC,2005,11
3739,Accident,0,Substantial,cessna,152,VMC,VMC,2005,10
3744,Accident,0,Substantial,cessna,180,VMC,VMC,2005,10
3753,Accident,0,Substantial,cessna,172,VMC,VMC,2005,10
3771,Accident,0,Substantial,cessna,172,VMC,VMC,2005,10
3790,Accident,0,Substantial,cessna,152,VMC,VMC,2005,10
3814,Accident,0,Substantial,cessna,172,VMC,VMC,2005,10
3829,Accident,0,Substantial,piper,PA-22,VMC,VMC,2005,10
3849,Accident,0,Substantial,cessna,152,VMC,VMC,2005,10
3873,Accident,0,Substantial,cessna,182,VMC,VMC,2005,9
3882,Accident,1,Substantial,cessna,150,VMC,VMC,2005,9
3894,Accident,0,Substantial,cessna,182,VMC,VMC,2005,9
3939,Accident,0,Substantial,cessna,152,VMC,VMC,2005,9
3949,Accident,0,Substantial,cessna,172,VMC,VMC,2005,9
3968,Accident,0,Substantial,piper,PA-18,VMC,VMC,2005,9
3977,Accident,0,Substantial,piper,PA-18,VMC,VMC,2005,9
3980,Accident,1,Destroyed,cessna,152,VMC,VMC,2005,9
3994,Accident,0,Substantial,cessna,152,VMC,VMC,2005,9
4010,Accident,0,Substantial,cessna,180,VMC,VMC,2005,9
4011,Accident,0,Substantial,piper,PA-18,VMC,VMC,2005,9
4029,Accident,0,Substantial,cessna,180,VMC,VMC,2005,9
4032,Accident,1,Destroyed,cessna,172,VMC,VMC,2005,9
4052,Accident,0,Substantial,cessna,172,VMC,VMC,2005,8
4063,Accident,0,Substantial,cessna,152,VMC,VMC,2005,8
4086,Accident,0,Substantial,cessna,152,VMC,VMC,2005,8
4104,Accident,0,Substantial,cessna,152,VMC,VMC,2005,8
4140,Accident,0,Substantial,piper,PA-18,VMC,VMC,2005,8
4174,Accident,0,Substantial,cessna,182,VMC,VMC,2005,8
4251,Accident,0,Substantial,piper,PA-18,VMC,VMC,2005,8
4265,Accident,1,Destroyed,cessna,180,VMC,VMC,2005,7
4277,Accident,0,Substantial,cessna,180,VMC,VMC,2005,7
4320,Accident,0,Substantial,cessna,172,VMC,VMC,2005,7
4332,Accident,0,Substantial,piper,PA-22,VMC,VMC,2005,7
4337,Accident,0,Substantial,cessna,152,VMC,VMC,2005,7
4341,Accident,0,Substantial,cessna,180,VMC,VMC,2005,7
4346,Accident,0,Substantial,cessna,180,VMC,VMC,2005,7
4393,Accident,0,Substantial,cessna,172,VMC,VMC,2005,7
4413,Accident,0,Substantial,piper,PA-25,VMC,VMC,2005,7
4430,Accident,0,Substantial,cessna,152,VMC,VMC,2005,7
4435,Accident,0,Substantial,piper,PA-22,VMC,VMC,2005,7
4447,Accident,0,Substantial,cessna,152,VMC,VMC,2005,7
4477,Accident,0,Substantial,cessna,152,VMC,VMC,2005,6
4529,Accident,0,Substantial,cessna,172,VMC,VMC,2005,6
4530,Accident,0,Substantial,cessna,152,VMC,VMC,2005,6
4551,Accident,0,Substantial,cessna,152,VMC,VMC,2005,6
4582,Accident,0,Substantial,cessna,152,VMC,VMC,2005,6
4596,Accident,0,Substantial,cessna,152,VMC,VMC,2005,6
4617,Accident,0,Substantial,piper,PA-18,VMC,VMC,2005,6
4633,Accident,0,Substantial,cessna,152,VMC,VMC,2005,6
4674,Accident,0,Substantial,cessna,172,IMC,IMC,2005,6
4698,Accident,0,Substantial,cessna,180,VMC,VMC,2005,5
4720,Accident,0,Substantial,cessna,172,VMC,VMC,2005,5
4736,Accident,0,Substantial,cessna,152,VMC,VMC,2005,5
4738,Accident,0,Substantial,piper,PA-18,VMC,VMC,2005,5
4793,Accident,0,Substantial,piper,PA-18,VMC,VMC,2005,5
4845,Accident,0,Substantial,piper,PA-18,VMC,VMC,2005,5
4856,Accident,0,Substantial,cessna,152,VMC,VMC,2005,5
4879,Accident,1,Substantial,cessna,172,VMC,VMC,2005,4
4894,Accident,0,Substantial,cessna,180,VMC,VMC,2005,4
4896,Accident,0,Substantial,cessna,180,VMC,VMC,2005,4
4904,Accident,0,Substantial,cessna,180,VMC,VMC,2005,4
4950,Accident,0,Substantial,cessna,172,VMC,VMC,2005,4
4964,Accident,1,Substantial,cessna,152,VMC,VMC,2005,4
4968,Accident,0,Substantial,piper,PA-18,VMC,VMC,2005,4
4969,Accident,0,Substantial,cessna,172,VMC,VMC,2005,4
4970,Accident,0,Substantial,cessna,180,VMC,VMC,2005,4
4976,Accident,0,Substantial,cessna,150,VMC,VMC,2005,4
4977,Accident,0,Substantial,cessna,172,VMC,VMC,2005,4
4986,Accident,0,Substantial,cessna,152,VMC,VMC,2005,4
4998,Accident,0,Substantial,cessna,152,VMC,VMC,2005,4
5009,Accident,0,Substantial,piper,PA-18,VMC,VMC,2005,4
5012,Accident,0,Substantial,cessna,152,VMC,VMC,2005,4
5021,Accident,0,Substantial,cessna,152,VMC,VMC,2005,3
5038,Accident,0,Substantial,cessna,182,VMC,VMC,2005,3
5044,Accident,0,Substantial,cessna,172,VMC,VMC,2005,3
5063,Accident,0,Substantial,piper,PA-18,VMC,VMC,2005,3
5065,Accident,0,Substantial,cessna,172,VMC,VMC,2005,3
5072,Accident,0,Substantial,cessna,152,VMC,VMC,2005,3
5092,Accident,0,Substantial,cessna,172,VMC,VMC,2005,3
5125,Accident,0,Substantial,cessna,152,VMC,VMC,2005,3
5142,Accident,0,Substantial,cessna,172,VMC,VMC,2005,3
5149,Accident,0,Substantial,cessna,172,VMC,VMC,2005,3
5156,Accident,0,Substantial,piper,PA-22,VMC,VMC,2005,2
5167,Accident,1,Destroyed,cessna,172,IMC,IMC,2005,2
5175,Accident,0,Substantial,cessna,172,VMC,VMC,2005,2
5182,Accident,0,Substantial,piper,PA-22,VMC,VMC,2005,2
5186,Accident,0,Substantial,piper,PA-18,VMC,VMC,2005,2
5187,Accident,0,Destroyed,cessna,172,VMC,VMC,2005,2
5225,Accident,0,Substantial,cessna,152,VMC,VMC,2005,2
5231,Accident,0,Substantial,cessna,152,VMC,VMC,2005,2
5238,Accident,0,Substantial,cessna,152,VMC,VMC,2005,2
5251,Accident,1,Substantial,cessna,180,VMC,VMC,2005,1
5267,Accident,0,Substantial,cessna,172,VMC,VMC,2005,1
5272,Accident,0,Substantial,cessna,182,VMC,VMC,2005,1
5293,Accident,0,Substantial,cessna,152,VMC,VMC,2005,1
5308,Accident,0,Substantial,cessna,152,VMC,VMC,2005,1
5325,Accident,0,Substantial,cessna,180,VMC,VMC,2005,1
5357,Accident,1,Destroyed,cessna,172,IMC,IMC,2004,12
5516,Accident,0,Destroyed,cessna,152,IMC,IMC,2004,11
5530,Incident,0,Minor,cessna,152,VMC,VMC,2004,11
5549,Accident,0,Substantial,cessna,152,VMC,VMC,2004,11
5565,Accident,0,Substantial,cessna,172,VMC,VMC,2004,11
5594,Accident,0,Substantial,piper,PA-24,IMC,IMC,2004,10
5596,Accident,0,Substantial,cessna,172,VMC,VMC,2004,10
5597,Accident,0,Substantial,cessna,152,VMC,VMC,2004,10
5602,Accident,1,Substantial,cessna,180,VMC,VMC,2004,10
5615,Accident,0,Substantial,piper,PA-28,IMC,IMC,2004,10
5616,Accident,0,Substantial,cessna,152,VMC,VMC,2004,10
5628,Accident,0,Substantial,cessna,152,VMC,VMC,2004,10
5652,Accident,0,Substantial,cessna,152,VMC,VMC,2004,10
5657,Accident,0,Substantial,piper,PA-18,VMC,VMC,2004,10
5662,Accident,0,Substantial,piper,PA-18,VMC,VMC,2004,10
5663,Accident,0,Substantial,piper,PA-22,VMC,VMC,2004,10
5667,Accident,1,Destroyed,piper,PA-18,IMC,IMC,2004,10
5688,Accident,0,Substantial,cessna,152,VMC,VMC,2004,10
5689,Accident,0,Substantial,cessna,172,VMC,VMC,2004,10
5712,Accident,0,Substantial,cessna,152,VMC,VMC,2004,10
5748,Accident,0,Substantial,cessna,152,VMC,VMC,2004,9
5756,Accident,0,Substantial,cessna,152,VMC,VMC,2004,9
5771,Accident,0,Substantial,piper,PA-28,VMC,VMC,2004,9
5777,Accident,0,Substantial,cessna,172,VMC,VMC,2004,9
5810,Accident,0,Substantial,piper,PA-18,VMC,VMC,2004,9
5826,Accident,0,Substantial,piper,PA-18,VMC,VMC,2004,9
5839,Accident,0,Substantial,cessna,152,VMC,VMC,2004,9
5865,Accident,0,Substantial,piper,PA-18,VMC,VMC,2004,9
5868,Accident,0,Substantial,cessna,182,VMC,VMC,2004,9
5869,Accident,0,Substantial,cessna,180,VMC,VMC,2004,9
5881,Accident,0,Substantial,piper,PA-18,VMC,VMC,2004,9
5887,Accident,0,Substantial,cessna,172,VMC,VMC,2004,9
5893,Accident,0,Substantial,piper,PA-22,VMC,VMC,2004,9
5908,Accident,0,Substantial,cessna,152,VMC,VMC,2004,9
5938,Accident,0,Substantial,piper,PA-18,VMC,VMC,2004,8
5951,Accident,0,Substantial,cessna,182,VMC,VMC,2004,8
6037,Accident,0,Substantial,cessna,152,VMC,VMC,2004,8
6061,Accident,0,Substantial,piper,PA-18,VMC,VMC,2004,8
6084,Accident,0,Substantial,cessna,152,VMC,VMC,2004,8
6121,Accident,0,Substantial,piper,PA-24,VMC,VMC,2004,7
6123,Accident,0,Substantial,cessna,172,VMC,VMC,2004,7
6192,Accident,0,Substantial,piper,PA-28,VMC,VMC,2004,7
6203,Accident,0,Substantial,cessna,182,VMC,VMC,2004,7
6237,Accident,0,Substantial,cessna,172,VMC,VMC,2004,7
6253,Accident,0,Substantial,cessna,180,VMC,VMC,2004,7
6273,Accident,0,Substantial,cessna,172,VMC,VMC,2004,7
6302,Accident,0,Substantial,cessna,150,VMC,VMC,2004,7
6380,Accident,0,Substantial,cessna,180,VMC,VMC,2004,6
6387,Accident,0,Substantial,cessna,172,VMC,VMC,2004,6
6398,Accident,0,Substantial,cessna,172,VMC,VMC,2004,6
6405,Accident,0,Substantial,piper,PA-18,VMC,VMC,2004,6
6421,Accident,0,Substantial,cessna,172,VMC,VMC,2004,6
6442,Accident,0,Substantial,cessna,152,VMC,VMC,2004,6
6455,Accident,0,Substantial,cessna,150,VMC,VMC,2004,6
6463,Accident,0,Substantial,cessna,150,VMC,VMC,2004,6
6491,Accident,0,Substantial,cessna,150,VMC,VMC,2004,6
6500,Accident,0,Substantial,cessna,172,VMC,VMC,2004,5
6536,Accident,0,Substantial,cessna,172,VMC,VMC,2004,5
6576,Accident,0,Substantial,cessna,150,VMC,VMC,2004,5
6592,Accident,0,Substantial,cessna,150,VMC,VMC,2004,5
6593,Accident,0,Substantial,cessna,180,VMC,VMC,2004,5
6643,Accident,0,Substantial,piper,PA-18,VMC,VMC,2004,5
6644,Accident,0,Substantial,cessna,152,VMC,VMC,2004,5
6683,Accident,0,Substantial,piper,PA-18,VMC,VMC,2004,4
6693,Accident,0,Substantial,cessna,182,VMC,VMC,2004,4
6752,Accident,0,Substantial,cessna,150,VMC,VMC,2004,4
6782,Accident,0,Substantial,cessna,152,VMC,VMC,2004,4
6817,Accident,0,Substantial,cessna,180,VMC,VMC,2004,3
6852,Accident,0,Substantial,cessna,152,VMC,VMC,2004,3
6872,Accident,0,Substantial,piper,PA-18,VMC,VMC,2004,3
6890,Accident,0,Substantial,cessna,180,VMC,VMC,2004,3
6957,Accident,0,Substantial,cessna,152,VMC,VMC,2004,2
7004,Accident,0,Substantial,cessna,172,VMC,VMC,2004,2
7011,Accident,0,Substantial,cessna,152,VMC,VMC,2004,2
7062,Accident,0,Substantial,cessna,172,VMC,VMC,2004,1
7115,Accident,0,Substantial,cessna,152,VMC,VMC,2004,1
7157,Accident,0,Substantial,cessna,182,VMC,VMC,2003,12
7194,Accident,0,Substantial,cessna,152,VMC,VMC,2003,12
7212,Accident,0,Substantial,piper,PA-18,VMC,VMC,2003,12
7243,Accident,0,Substantial,cessna,152,VMC,VMC,2003,12
7251,Accident,0,Substantial,cessna,172,VMC,VMC,2003,12
7258,Accident,0,Substantial,cessna,152,VMC,VMC,2003,12
7297,Accident,0,Substantial,cessna,172,VMC,VMC,2003,11
7319,Accident,1,Substantial,cessna,180,VMC,VMC,2003,11
7328,Accident,0,Substantial,cessna,152,VMC,VMC,2003,11
7336,Accident,0,Substantial,cessna,152,VMC,VMC,2003,11
7350,Accident,0,Substantial,cessna,180,VMC,VMC,2003,11
7354,Accident,0,Substantial,piper,PA-18,VMC,VMC,2003,11
7360,Accident,0,Substantial,piper,PA-18,VMC,VMC,2003,11
7430,Accident,0,Substantial,cessna,152,VMC,VMC,2003,10
7508,Accident,0,Substantial,cessna,180,VMC,VMC,2003,10
7567,Accident,0,Substantial,piper,PA-22,VMC,VMC,2003,9
7589,Accident,1,Destroyed,cessna,152,VMC,VMC,2003,9
7604,Accident,0,Substantial,piper,PA-18,VMC,VMC,2003,9
7613,Accident,0,Substantial,cessna,180,VMC,VMC,2003,9
7637,Accident,0,Substantial,piper,PA-18,VMC,VMC,2003,9
7638,Accident,0,Substantial,cessna,180,VMC,VMC,2003,9
7641,Accident,0,Substantial,piper,PA-18,VMC,VMC,2003,9
7649,Accident,0,Substantial,cessna,182,VMC,VMC,2003,9
7652,Accident,0,Substantial,piper,PA-18,VMC,VMC,2003,9
7658,Accident,0,Substantial,cessna,180,VMC,VMC,2003,9
7659,Accident,1,Destroyed,cessna,182,VMC,VMC,2003,9
7678,Accident,0,Substantial,cessna,152,VMC,VMC,2003,9
7690,Accident,0,Substantial,piper,PA-22,VMC,VMC,2003,9
7694,Accident,0,Substantial,cessna,152,VMC,VMC,2003,9
7699,Accident,0,Substantial,cessna,150,VMC,VMC,2003,9
7716,Accident,0,Substantial,piper,PA-18,VMC,VMC,2003,9
7723,Accident,0,Substantial,cessna,152,VMC,VMC,2003,9
7740,Accident,0,Substantial,cessna,152,VMC,VMC,2003,8
7751,Accident,0,Substantial,cessna,180,VMC,VMC,2003,8
7767,Accident,0,Substantial,cessna,180,VMC,VMC,2003,8
7772,Accident,0,Substantial,cessna,182,VMC,VMC,2003,8
7773,Accident,0,Substantial,cessna,182,VMC,VMC,2003,8
7825,Accident,0,Substantial,cessna,172,VMC,VMC,2003,8
7826,Accident,0,Substantial,piper,PA-25,VMC,VMC,2003,8
7833,Accident,0,Substantial,cessna,152,VMC,VMC,2003,8
7888,Accident,0,Substantial,piper,PA-18,VMC,VMC,2003,8
7892,Accident,0,Substantial,piper,PA-18,VMC,VMC,2003,8
7930,Accident,0,Substantial,cessna,180,VMC,VMC,2003,7
7941,Accident,0,Destroyed,cessna,152,VMC,VMC,2003,7
8028,Accident,0,Substantial,piper,PA-18,VMC,VMC,2003,7
8044,Accident,0,Substantial,cessna,152,VMC,VMC,2003,7
8053,Accident,0,Substantial,piper,PA-18,VMC,VMC,2003,7
8119,Accident,0,Substantial,cessna,172,VMC,VMC,2003,7
8128,Accident,0,Substantial,piper,PA-24,VMC,VMC,2003,7
8161,Accident,0,Substantial,cessna,152,VMC,VMC,2003,6
8188,Accident,1,Substantial,cessna,172,IMC,IMC,2003,6
8196,Accident,1,Destroyed,cessna,180,VMC,VMC,2003,6
8260,Accident,0,Substantial,cessna,180,VMC,VMC,2003,6
8272,Accident,0,Substantial,piper,PA-18,VMC,VMC,2003,6
8285,Accident,0,Substantial,piper,PA-24,VMC,VMC,2003,6
